epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,835.213,2.25408,2.46673,2.53465,0.00231,0.4,0.00271,0.00054,4.04168,4.72708,6.32131,0.0011486,0.0011486,0.0011486
45,854.724,2.28409,2.38838,2.66188,0.00231,0.4,0.00271,0.00054,4.04168,4.72708,6.32131,0.0011288,0.0011288,0.0011288
46,876.822,2.09181,2.37572,2.49904,0.00231,0.4,0.00271,0.00054,4.04168,4.72708,6.32131,0.001109,0.001109,0.001109
47,896.973,2.20747,2.33086,2.55072,0.00802,0.4,0.00368,0.00089,3.69033,7.64271,6.47434,0.0010892,0.0010892,0.0010892
48,918.313,2.14543,2.20142,2.51412,0.00802,0.4,0.00368,0.00089,3.69033,7.64271,6.47434,0.0010694,0.0010694,0.0010694
49,939.576,2.19537,2.12883,2.53684,0.00137,0.4,0.0016,0.00046,3.97307,4.62452,9.27433,0.0010496,0.0010496,0.0010496
50,960.349,2.34238,2.31385,2.51036,0.00137,0.4,0.0016,0.00046,3.97307,4.62452,9.27433,0.0010298,0.0010298,0.0010298
51,979.29,2.25199,2.29024,2.51175,0.00137,0.4,0.0016,0.00046,3.97307,4.62452,9.27433,0.00101,0.00101,0.00101
52,998.603,2.08647,2.34341,2.49112,0.01169,0.2,0.02191,0.00299,3.21139,4.40642,4.40631,0.0009902,0.0009902,0.0009902
53,1018.15,1.92192,2.13624,2.30937,0.01169,0.2,0.02191,0.00299,3.21139,4.40642,4.40631,0.0009704,0.0009704,0.0009704
54,1037.14,2.13058,2.18021,2.50378,0.01169,0.2,0.02191,0.00299,3.21139,4.40642,4.40631,0.0009506,0.0009506,0.0009506
55,1057.84,2.11297,2.15999,2.52757,0.19639,0.4,0.42864,0.17898,2.28438,13.4467,2.85022,0.0009308,0.0009308,0.0009308
56,1077.51,2.13787,2.13169,2.57107,0.19639,0.4,0.42864,0.17898,2.28438,13.4467,2.85022,0.000911,0.000911,0.000911
57,1097.39,2.0532,1.98722,2.51916,0.84514,0.4,0.43245,0.14976,2.0587,6.01377,2.61264,0.0008912,0.0008912,0.0008912
58,1117.92,1.93477,1.98745,2.38171,0.84514,0.4,0.43245,0.14976,2.0587,6.01377,2.61264,0.0008714,0.0008714,0.0008714
59,1138.96,2.06235,1.93328,2.47524,0.84514,0.4,0.43245,0.14976,2.0587,6.01377,2.61264,0.0008516,0.0008516,0.0008516
60,1160.31,2.03094,1.92852,2.46818,0.44276,0.4,0.49961,0.12097,2.34764,7.83732,3.20627,0.0008318,0.0008318,0.0008318
61,1179.35,2.07878,2.04513,2.60247,0.44276,0.4,0.49961,0.12097,2.34764,7.83732,3.20627,0.000812,0.000812,0.000812
62,1200.03,2.13585,2.06676,2.58944,0.44276,0.4,0.49961,0.12097,2.34764,7.83732,3.20627,0.0007922,0.0007922,0.0007922
